n,avg_time_ms
3,62.3087
4,63.311
5,71.1097
6,87.4413
7,122.406
8,191.941
9,334.744
10,329.073
11,424.098
12,506.43
13,695.959
14,974.204
15,1555.76
16,2192.93
17,2618.82
18,6495.76
